stations_id;precipitation;latitude;longitude
4127;1204.4999999999989;50.9906;7.6958
13713;1402.599999999994;51.0899;7.6289
5619;1231.3999999999978;51.1637;7.4234
6313;1276.5999999999956;51.2488;7.4672
13700;1038.000000000004;51.3329;7.3411
3098;1106.6000000000001;51.2452;7.6425
6276;881.9000000000052;51.4895;7.7813
5480;730.200000000002;51.5763;7.8879
4400;781.000000000004;51.5439;8.1808
5360;1134.4000000000008;51.4319;8.2665
4313;983.6000000000055;51.4966;8.4342
7330;950.4000000000041;51.4633;7.978
3031;796.0000000000047;51.6336;8.3945
934;825.3000000000026;51.7835;8.5658
4368;836.0000000000044;51.7098;8.5796
5699;851.0000000000045;51.5427;8.7784
3028;1054.1000000000015;51.7854;8.8388
644;880.8000000000033;51.7049;9.1738
613;758.7000000000053;51.5677;9.2324
5347;732.7000000000052;51.5039;9.1118
6264;974.7000000000068;51.414;8.65
1300;1165.2000000000007;51.254;8.1565
4488;1012.9000000000045;51.2127;8.2672
2483;1431.5999999999922;51.1803;8.4891
3215;753.1000000000067;51.1683;8.7125
2947;833.4000000000053;51.1333;8.0348
216;1050.8000000000045;51.1143;7.8807
5468;1209.699999999999;50.9377;7.8475
389;934.6000000000072;51.0148;8.4318
390;1033.2000000000078;50.9837;8.3683
4692;1029.3000000000065;50.8534;7.9966
3499;1007.9000000000066;51.2915;7.853
796;1014.9000000000045;50.7556;8.1257
